gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.046798598021268845,0.9681930972253553,"(0.9091455666635523, 0.9979879237684561)",0.9886531840675974,"(0.9649688798539361, 0.9996078311180076)",0.8159499188017805,"(0.6915767570786863, 0.9207267019355767)",0.986013986013986,0.7741935483870968,0.9527027027027027,0.9690721649484536,0.05370825877595018,0.08936799990933864,{'n_bootstrap': 10000}
MSH2,1,176,120,0.4561412036418915,0.9407738095238095,"(0.8873461120154309, 0.9815719691385326)",0.9378348215341382,"(0.8709306405543128, 0.9920965214213698)",0.7032108464077431,"(0.6053248864207106, 0.7972156068450915)",1.0,0.5892857142857143,0.8391608391608392,0.9125475285171103,0.10082012871745186,0.13644433766603467,{'n_bootstrap': 10000}
MSH6,2,78,47,0.3105234205722809,0.9670555936856554,"(0.9157134404057481, 1.0)",0.9825890750869888,"(0.9547942388201669, 1.0)",0.8953498645574137,"(0.7861773627363053, 0.9745803967897928)",0.9361702127659575,0.967741935483871,0.9777777777777777,0.9565217391304348,0.06275991112869388,0.07228527979877515,{'n_bootstrap': 10000}
PMS2,3,21,17,0.23191890120506287,0.9411764705882353,"(0.8, 1.0)",0.9872721018231855,"(0.9472453168176852, 1.0)",0.7669649888473705,"(0.4, 1.0)",0.8823529411764706,1.0,1.0,0.9375,0.22798171594527664,0.3458554884862332,{'n_bootstrap': 10000}
