gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.22269047796726227,0.983081434694338,"(0.954445103574583, 0.9985322896281801)",0.9958462747093216,"(0.9882232020751938, 0.9997086904093008)",0.8610337107549683,"(0.7459591536956383, 0.9516666666666667)",0.9790209790209791,0.8709677419354839,0.9722222222222222,0.975609756097561,0.07599867553552715,0.12084139583782222,{'n_bootstrap': 10000}
MSH2,1,176,120,0.5142928957939148,0.953422619047619,"(0.9176186997250789, 0.9819860853307126)",0.9744158345299854,"(0.9502803562818445, 0.9919318248775163)",0.6367145399670133,"(0.531724096236567, 0.7358448551767848)",1.0,0.5,0.8108108108108109,0.8955223880597015,0.1168861115767647,0.13358437405391174,{'n_bootstrap': 10000}
MSH6,2,78,47,0.2866043448448181,0.9492107069320521,"(0.881726497681525, 0.9973266029456179)",0.9543590169086053,"(0.879351881677426, 0.9984466241946219)",0.8423223099367013,"(0.7114647038694903, 0.9486842105263158)",0.9148936170212766,0.9354838709677419,0.9555555555555556,0.9347826086956522,0.11513588536081344,0.13999157945792645,{'n_bootstrap': 10000}
PMS2,3,21,17,0.4707043170928955,0.9705882352941176,"(0.8823529411764706, 1.0)",0.9938080495356038,"(0.9694940476190477, 1.0)",0.4624972900628803,"(0.21320071635561041, 0.7126096406869613)",0.5882352941176471,1.0,1.0,0.7407407407407407,0.21138328914262908,0.32150377616995857,{'n_bootstrap': 10000}
