gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.6221079230308533,0.9724791337694564,"(0.9349561986748788, 0.9950690500448025)",0.9924714070139632,"(0.9822686236522546, 0.9990319823162973)",0.8091740591150881,"(0.6804433608247838, 0.9134614806686693)",0.958041958041958,0.8709677419354839,0.9716312056737588,0.9647887323943662,0.04740918444903414,0.08562782659441574,{'n_bootstrap': 10000}
MSH2,1,176,120,0.7057387232780457,0.9512648809523809,"(0.9148413283599353, 0.9807696272472373)",0.975505043041008,"(0.9388904227888148, 0.9919835357369744)",0.6915399239846179,"(0.5706163317995929, 0.8022608360001078)",0.9333333333333333,0.7321428571428571,0.8818897637795275,0.9068825910931174,0.10820985133396684,0.11565479417119856,{'n_bootstrap': 10000}
MSH6,2,78,47,0.6594176888465881,0.9776938915579959,"(0.9435214558867945, 1.0)",0.9855226562170445,"(0.9604140559567059, 1.0)",0.8672015392877652,"(0.7410810764999063, 0.9727316672915117)",0.9361702127659575,0.9354838709677419,0.9565217391304348,0.946236559139785,0.051932170693083785,0.060051978494112285,{'n_bootstrap': 10000}
PMS2,3,21,17,0.7668676376342773,1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",0.560112033611204,"(0.25819888974716115, 0.8257228238447705)",0.7058823529411765,1.0,1.0,0.8275862068965517,0.09792568496054432,0.20673071610785665,{'n_bootstrap': 10000}
