gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.5792627930641174,0.9745093616061358,"(0.9420257162192646, 0.9969911884805501)",0.9937971483215703,"(0.9849876400369038, 0.999394366705829)",0.7201247536423115,"(0.5936299845734765, 0.8340507825365885)",0.9020979020979021,0.9032258064516129,0.9772727272727273,0.9381818181818182,0.09031435886574596,0.21033480575029878,{'n_bootstrap': 10000}
MSH2,1,176,120,0.5270126461982727,0.9549107142857143,"(0.919004465762339, 0.9816964285714286)",0.9759084498505313,"(0.9523160366896244, 0.9919633303026498)",0.6501849927377139,"(0.5459905520713216, 0.7488718421641589)",1.0,0.5178571428571429,0.8163265306122449,0.898876404494382,0.13010193081938928,0.17219990745864133,{'n_bootstrap': 10000}
MSH6,2,78,47,0.5683034658432007,0.9629375428963624,"(0.9012328732301279, 0.9980276134122288)",0.963257210694854,"(0.8932522161643274, 0.9989180708420837)",0.8118883316110518,"(0.6677575264292113, 0.9256359368414747)",0.9361702127659575,0.8709677419354839,0.9166666666666666,0.9263157894736842,0.05779569516987209,0.07372533536862397,{'n_bootstrap': 10000}
PMS2,3,21,17,0.5235886573791504,0.9558823529411765,"(0.8333333333333334, 1.0)",0.9903478419231471,"(0.9569419900313066, 1.0)",0.5087470190691683,"(0.23452078799117146, 0.7669649888473705)",0.6470588235294118,1.0,1.0,0.7857142857142857,0.17900208576746493,0.27867538446471807,{'n_bootstrap': 10000}
