gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.3642447888851166,0.9695465824498083,"(0.9240249139924426, 0.9973157466356732)",0.991516924911017,"(0.9768843869117001, 0.9994701973338483)",0.8154644206255686,"(0.6952942471025717, 0.9146003760239292)",0.951048951048951,0.9032258064516129,0.9784172661870504,0.9645390070921985,0.06588715262694773,0.11241176426838871,{'n_bootstrap': 10000}
MSH2,1,176,120,0.39401131868362427,0.9663690476190476,"(0.9404978247452167, 0.9860353552499336)",0.9838941432078123,"(0.969627884046739, 0.9939842181430835)",0.7516595129353343,"(0.651127018780309, 0.8478549491459976)",0.9916666666666667,0.6785714285714286,0.8686131386861314,0.9260700389105059,0.07616344839272172,0.06262983910908752,{'n_bootstrap': 10000}
MSH6,2,78,47,0.342220664024353,0.9519560741249142,"(0.8899418333547724, 0.9986531986531987)",0.9664552673545108,"(0.9146441171210858, 0.9992673328123256)",0.8657380678913766,"(0.7421611245508184, 0.9727316672915117)",0.9574468085106383,0.9032258064516129,0.9375,0.9473684210526315,0.10987514861567609,0.18132038051501298,{'n_bootstrap': 10000}
PMS2,3,21,17,0.41543376445770264,0.9558823529411765,"(0.8382352941176471, 1.0)",0.9903478419231471,"(0.9581962719298246, 1.0)",0.6859943405700354,"(0.35355339059327373, 1.0)",0.8235294117647058,1.0,1.0,0.9032258064516129,0.17601086348663392,0.293259787772383,{'n_bootstrap': 10000}
