gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.7164166287433378,0.8772840063162644,"(0.8190410659073851, 0.9261750198830736)",0.9733090353427855,"(0.9553154041578694, 0.9865616917642579)",0.36843284586337605,"(0.2974059387397313, 0.44290184793960335)",0.46853146853146854,1.0,1.0,0.638095238095238,0.277826367924963,0.35096445897274287,{'n_bootstrap': 10000}
MSH6,2,78,47,0.8403675208586298,0.9272477693891558,"(0.8641279644268774, 0.9725555151527695)",0.9599625731346678,"(0.9196204716734482, 0.9858371443727626)",0.1888191567361381,"(0.08291849892341731, 0.2832824305764566)",0.0851063829787234,1.0,1.0,0.1568627450980392,0.18392760144044829,0.2691076099156187,{'n_bootstrap': 10000}
PMS2,3,21,17,0.7802097658588458,0.5588235294117647,"(0.3088235294117647, 0.7894736842105263)",0.8917563071906544,"(0.7323779841267262, 0.983643514423313)",0.23529411764705882,"(0.07254762501100116, 0.4)",0.23529411764705882,1.0,1.0,0.38095238095238093,0.4998509209956778,0.5373565510866077,{'n_bootstrap': 10000}
