gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.5459184646606445,0.7060681254229642,"(0.6083679325117681, 0.7979170997102545)",0.9221539979808464,"(0.8796754793589321, 0.9575321474221125)",0.2524661459182882,"(0.10917795085680161, 0.3851491587008387)",0.5874125874125874,0.7419354838709677,0.9130434782608695,0.7148936170212766,0.20339909142872642,0.25952245569092103,{'n_bootstrap': 10000}
MSH2,1,176,120,0.6598021984100342,0.8395833333333333,"(0.7759998071669613, 0.8959379877495992)",0.9191485553847449,"(0.8730560030547521, 0.9557042131951756)",0.47131864693645437,"(0.327534635114342, 0.6061050722992882)",0.8416666666666667,0.625,0.8278688524590164,0.8347107438016529,0.16336365426129007,0.11180179980477657,{'n_bootstrap': 10000}
MSH6,2,78,47,0.5096575021743774,0.8524365133836651,"(0.7569000637605289, 0.9296296908377715)",0.8921861489844184,"(0.8061722651336185, 0.9555363579352578)",0.39190116678105696,"(0.1947849975919403, 0.5746872132699616)",0.5531914893617021,0.8387096774193549,0.8387096774193549,0.6666666666666666,0.2078811210133005,0.20838157447854963,{'n_bootstrap': 10000}
PMS2,3,21,17,0.7021059989929199,0.7647058823529411,"(0.42105263157894735, 1.0)",0.9364725265426413,"(0.8096743359348402, 1.0)",0.26593594178615615,"(-0.19364916731037085, 0.6183469424008423)",0.5882352941176471,0.75,0.9090909090909091,0.7142857142857143,0.17704358460644024,0.26537241467407774,{'n_bootstrap': 10000}
