gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.47556084394454956,0.9657117076471915,"(0.9322997858770875, 0.9891736764932859)",0.9921872752207301,"(0.9830211775354722, 0.997940083641102)",0.709404156018525,"(0.5721568318838028, 0.8287494512695011)",0.9090909090909091,0.8709677419354839,0.9701492537313433,0.9386281588447654,0.21170741404468132,0.3256037368856628,{'n_bootstrap': 10000}
MSH2,1,176,120,0.571994960308075,0.9415178571428572,"(0.8966501251632298, 0.9779046461809042)",0.9632611618039919,"(0.9255772949357586, 0.9900969453119193)",0.7874796655168211,"(0.6873960786795028, 0.8771988022042191)",0.975,0.7678571428571429,0.9,0.936,0.08447431625045679,0.07139846776739105,{'n_bootstrap': 10000}
MSH6,2,78,47,0.2770594656467438,0.9478380233356212,"(0.8888888888888888, 0.9912854030501089)",0.965853959322731,"(0.9237003568218146, 0.9946456148498942)",0.7895305015431425,"(0.6490036391799184, 0.9162456945817024)",0.9787234042553191,0.7741935483870968,0.8679245283018868,0.92,0.16719264656256336,0.2691971569871291,{'n_bootstrap': 10000}
PMS2,3,21,17,0.5503917932510376,0.9264705882352942,"(0.7647058823529411, 1.0)",0.9835956312349502,"(0.9383980558121722, 1.0)",0.42008402520840293,"(0.18136906252750293, 0.6633249580710799)",0.5294117647058824,1.0,1.0,0.6923076923076923,0.15200691882810918,0.2328715987858318,{'n_bootstrap': 10000}
