gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.7608415281469341,0.9084141664786826,"(0.8605037870411323, 0.9500691019307602)",0.9815851220934809,"(0.9682483070802814, 0.9911153180623891)",0.37743548118525166,"(0.3040329512141141, 0.45232953942777904)",0.4825174825174825,1.0,1.0,0.6509433962264151,0.187526650523383,0.27414987482740705,{'n_bootstrap': 10000}
MSH6,2,78,47,0.9165445596504584,0.8881262868908717,"(0.7993260732323232, 0.9612817894157156)",0.9492807665023966,"(0.9007273083681684, 0.9824822565861387)",0.3114422021926914,"(0.2043747581504178, 0.4178554470186725)",0.2127659574468085,1.0,1.0,0.3508771929824561,0.1574166350439964,0.20793004389494085,{'n_bootstrap': 10000}
PMS2,3,21,17,0.7872996807331675,0.5882352941176471,"(0.35294117647058826, 0.8235294117647058)",0.9073420286587289,"(0.7761279841267263, 0.983643514423313)",0.19802950859533489,"(0.0, 0.35355339059327373)",0.17647058823529413,1.0,1.0,0.3,0.4631272051001117,0.5489384114764453,{'n_bootstrap': 10000}
