gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.5976914511501439,0.9460861718926235,"(0.9117622549019607, 0.9744724513186501)",0.988980492342036,"(0.9800565466940347, 0.995300177745605)",0.33778163047434,"(0.2710953820993154, 0.40997659455243063)",0.4195804195804196,1.0,1.0,0.5911330049261084,0.2751461284068722,0.3992849037415166,{'n_bootstrap': 10000}
MSH6,2,78,47,0.7715962031116225,0.938229238160604,"(0.8809523809523809, 0.9807308970099667)",0.965554146951923,"(0.9281005488885475, 0.9893581141154423)",0.2933111868970001,"(0.18667748886377503, 0.4034732923929644)",0.19148936170212766,1.0,1.0,0.32142857142857145,0.13926553058509772,0.21367447044795904,{'n_bootstrap': 10000}
PMS2,3,21,17,0.7235500461434663,0.6470588235294118,"(0.4117647058823529, 0.8666666666666667)",0.9230283031685328,"(0.8031018108997985, 0.986768514423313)",0.19802950859533489,"(0.0, 0.35355339059327373)",0.17647058823529413,1.0,1.0,0.3,0.4029467880383102,0.4881805256452589,{'n_bootstrap': 10000}
