gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.3242308497428894,0.6492217459959395,"(0.5587753173703284, 0.7367096355450392)",0.9097287098442377,"(0.8649879253290138, 0.9465192409292263)",0.10970867185940211,"(-0.04732418999999555, 0.2688149101229429)",0.7132867132867133,0.41935483870967744,0.85,0.7756653992395437,0.2758975236221218,0.280821501288092,{'n_bootstrap': 10000}
MSH2,1,176,120,0.46132177114486694,0.7339285714285714,"(0.656100841703869, 0.8057116982157089)",0.8691565423476032,"(0.8115688745556294, 0.9160941440167226)",0.22177275893516885,"(0.06846350502738861, 0.3685096647860845)",0.7416666666666667,0.48214285714285715,0.7542372881355932,0.7478991596638656,0.21363855602883372,0.1347536585420709,{'n_bootstrap': 10000}
MSH6,2,78,47,0.8605335354804993,0.665751544269046,"(0.5357142857142857, 0.7854294579784775)",0.7718543241232535,"(0.6442118577070793, 0.876184336816877)",0.159727113554481,"(-0.06475103337403446, 0.3645413082882446)",0.3404255319148936,0.8064516129032258,0.7272727272727273,0.463768115942029,0.3923343601024026,0.4009352933126138,{'n_bootstrap': 10000}
PMS2,3,21,17,0.6337374448776245,0.4852941176470588,"(0.12962962962962962, 1.0)",0.8299507047617594,"(0.620757379876679, 1.0)",-0.17503501050350123,"(-0.5087470190691683, 0.26593594178615615)",0.5294117647058824,0.25,0.75,0.6206896551724138,0.48770417476438305,0.5246772710511106,{'n_bootstrap': 10000}
