gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.21339945495128632,0.8484096548612677,"(0.7644494120616677, 0.9208060682326622)",0.9577673995738806,"(0.9221960879348513, 0.9834234728400343)",0.5200727675793796,"(0.3628301010435065, 0.6686330807810004)",0.8671328671328671,0.7096774193548387,0.9323308270676691,0.8985507246376812,0.18166900402685268,0.19582520650774005,{'n_bootstrap': 10000}
MSH2,1,176,120,0.3635691702365875,0.8561011904761905,"(0.7958720238095238, 0.9104786379236515)",0.9270190887201838,"(0.8866557373977284, 0.9597375402427939)",0.4032525419791084,"(0.24957809969146735, 0.5451136013762705)",0.9416666666666667,0.375,0.7635135135135135,0.8432835820895522,0.13957810779237237,0.06178056783127516,{'n_bootstrap': 10000}
MSH6,2,78,47,0.23599126935005188,0.8984214138641043,"(0.8068262279659338, 0.9690566037735849)",0.9044421162986039,"(0.7929781505353398, 0.9837433820657667)",0.6238904985988252,"(0.4329672773751577, 0.7889895672346255)",0.9361702127659575,0.6451612903225806,0.8,0.8627450980392157,0.13092791246689595,0.1511401500648413,{'n_bootstrap': 10000}
PMS2,3,21,17,0.3164547383785248,0.7794117647058824,"(0.4444444444444444, 1.0)",0.9396521384683831,"(0.8175400027037011, 1.0)",0.29827937950065225,"(-0.19802950859533489, 0.7669649888473705)",0.8235294117647058,0.5,0.875,0.8484848484848485,0.20735135593856904,0.32291734945915995,{'n_bootstrap': 10000}
