gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.47828325629234314,0.7473494247687796,"(0.6585653599755948, 0.8269283408631285)",0.9339190965391193,"(0.8916960431143879, 0.9653852749979615)",0.3445954784817004,"(0.23770076186110703, 0.4401531681841117)",0.5104895104895105,0.9354838709677419,0.9733333333333334,0.6697247706422018,0.264714268459021,0.36124203859389514,{'n_bootstrap': 10000}
MSH2,1,176,120,0.9985814094543457,0.6726190476190477,"(0.5861924700588897, 0.7571722369520071)",0.8190571574559296,"(0.7479270071889174, 0.8836619700000298)",0.15983740793871878,"(0.017889413053237692, 0.28852888864860216)",0.3333333333333333,0.8214285714285714,0.8,0.47058823529411764,0.2830060987033495,0.28828458710797183,{'n_bootstrap': 10000}
MSH6,2,78,47,0.6788133382797241,0.75840768702814,"(0.6368731319500273, 0.8691045408576714)",0.8067671606086583,"(0.6741803932222624, 0.9189253071725922)",0.4887899139291026,"(0.28311042925246527, 0.683239646074564)",0.8085106382978723,0.6774193548387096,0.7916666666666666,0.8,0.19691628488238086,0.14143350309668443,{'n_bootstrap': 10000}
PMS2,3,21,17,0.4047740697860718,0.35294117647058826,"(0.0, 0.6666666666666666)",0.7582355795522797,"(0.5412462817678292, 0.9767387525185512)",-0.3429971702850177,"(-0.5547001962252291, -0.1414213562373095)",0.5882352941176471,0.0,0.7142857142857143,0.6451612903225806,0.3394560721895068,0.4602261256603968,{'n_bootstrap': 10000}
