gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.3797633647918701,0.9433792014437176,"(0.8944114149821641, 0.9814506539833532)",0.9859424487863104,"(0.9710936319346924, 0.9961948590411076)",0.6499277188334812,"(0.5070297337619125, 0.7778453916291769)",0.8881118881118881,0.8387096774193549,0.9621212121212122,0.9236363636363636,0.10497287513584577,0.16717336343965308,{'n_bootstrap': 10000}
MSH2,1,176,120,0.27402248978614807,0.9026785714285714,"(0.841957198944943, 0.9538149086317497)",0.9202736455440577,"(0.8519132709206381, 0.9773156290438605)",0.5092412597193455,"(0.39862367757095307, 0.6136108038679581)",1.0,0.3392857142857143,0.7643312101910829,0.8664259927797834,0.11083470128666258,0.0754035818813877,{'n_bootstrap': 10000}
MSH6,2,78,47,0.14356397092342377,0.87920384351407,"(0.7769305370300825, 0.960800809091389)",0.8521825976055738,"(0.7243988051669655, 0.9765655132471671)",0.6483614621086008,"(0.46254091643754286, 0.8122760939669398)",0.8936170212765957,0.7419354838709677,0.84,0.865979381443299,0.1816687942865731,0.2100748335942626,{'n_bootstrap': 10000}
PMS2,3,21,17,0.156126469373703,0.9264705882352942,"(0.7794117647058824, 1.0)",0.984640522875817,"(0.9431817902599637, 1.0)",0.6183469424008423,"(0.309344112444873, 0.8944271909999159)",0.7647058823529411,1.0,1.0,0.8666666666666667,0.21514187835236115,0.30216717209744576,{'n_bootstrap': 10000}
