gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.5087136030197144,0.4802616738100609,"(0.369049811261161, 0.5883123110355253)",0.8336361408328667,"(0.7601473635628783, 0.8975959350451473)",-0.0430890081887927,"(-0.19222095223730154, 0.10509969354054603)",0.5244755244755245,0.41935483870967744,0.8064516129032258,0.635593220338983,0.2545901750564697,0.3007452252438699,{'n_bootstrap': 10000}
MSH2,1,176,120,0.5134456753730774,0.6186011904761904,"(0.5178704966800343, 0.7148871684884698)",0.7422520027298665,"(0.649186610922402, 0.831169677696689)",0.3213250984585673,"(0.16447881545519755, 0.4715299086388458)",0.85,0.44642857142857145,0.7669172932330827,0.8063241106719368,0.254644174756296,0.23754004665666303,{'n_bootstrap': 10000}
MSH6,2,78,47,0.9598773121833801,0.5202470830473576,"(0.3820554754591613, 0.6572901224864562)",0.6161791888257415,"(0.47891828724372143, 0.7653975527891528)",-0.09768162127334946,"(-0.32596852204611304, 0.12603308918773914)",0.23404255319148937,0.6774193548387096,0.5238095238095238,0.3235294117647059,0.37463527365258975,0.38983171863051563,{'n_bootstrap': 10000}
PMS2,3,21,17,0.4179905951023102,0.39705882352941174,"(0.05263157894736842, 0.875)",0.7843624694676417,"(0.5646934615204032, 0.9976190476190476)",0.14852213144650114,"(-0.22941573387056177, 0.689202437604511)",0.8823529411764706,0.25,0.8333333333333334,0.8571428571428571,0.2651705624296916,0.3297555973487241,{'n_bootstrap': 10000}
