gene,split_index,n,n_positive,threshold,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,mcc,mcc_ci,sensitivity,specificity,precision,f1,brier,ece,extra
MLH1,0,174,143,0.6674226522445679,0.8590119557861493,"(0.7895021363771364, 0.9198360826035002)",0.9657459774380039,"(0.9410804105592657, 0.9843864025911523)",0.35964246177341497,"(0.24802081083188174, 0.46647924377745514)",0.5664335664335665,0.9032258064516129,0.9642857142857143,0.7136563876651982,0.16045379530764595,0.21025030781654105,{'n_bootstrap': 10000}
MSH2,1,176,120,0.352354496717453,0.8633928571428572,"(0.8043568464577022, 0.9154753714160407)",0.9331983298914478,"(0.8946544745790267, 0.9638517376717739)",0.4200422548965558,"(0.26788568799249113, 0.557024193713104)",0.95,0.375,0.7651006711409396,0.8475836431226765,0.14522949988675235,0.08266878345536745,{'n_bootstrap': 10000}
MSH6,2,78,47,0.9888851642608643,0.8675360329444063,"(0.7762521236347306, 0.9444063143445436)",0.8820090228931706,"(0.7637761338366491, 0.9686367569306261)",0.5746872132699616,"(0.4066241470571607, 0.7333553511267004)",0.6808510638297872,0.9032258064516129,0.9142857142857143,0.7804878048780488,0.16026423225183895,0.17415532093283942,{'n_bootstrap': 10000}
PMS2,3,21,17,0.40582653880119324,0.8823529411764706,"(0.65, 1.0)",0.9713916562099953,"(0.8968960863697705, 1.0)",0.31506301890630223,"(-0.15811388300841897, 0.6793662204867574)",0.6470588235294118,0.75,0.9166666666666666,0.7586206896551724,0.20573018154050476,0.27252000066939563,{'n_bootstrap': 10000}
