holdout_gene,arch,warm_started,lr,n_finetune,n_inner_val,n_holdout,best_epoch,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high
MLH1,priors_only,False,0.0003,380,95,208,26,13.2,0.3149021061854437,0.9641220167535957,0.9108503240082187,0.9951003635214161,0.9848110956907921,0.9574373088688406,0.9989533685544129,0.7490445550773785,0.6421601133673911,0.8491038628677756
MSH2,priors_only,False,0.0003,277,71,335,6,12.1,0.7002441357218195,0.9007202792010099,0.8660048637409965,0.9319085542437069,0.8615233269439371,0.8124537664423284,0.9059090953034011,0.6110296459223054,0.5330441629086585,0.6859864195128682
MSH6,priors_only,False,0.0003,450,114,119,28,12.4,0.6782514371458673,0.9686263425664219,0.9361221028829848,0.9920859242509893,0.9702517019318546,0.9418298885961518,0.9926869406654328,0.7081473155360198,0.6020144055249539,0.8140824765932922
PMS2,priors_only,False,0.0003,530,132,21,18,12.0,0.25400281819945664,1.0,1.0,1.0,1.0,1.0,1.0,0.6859943405700354,0.5087470190691683,1.0
