holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed43,27,43,1,8,8,True,380,95,208,3,0.8845462713387241,166.0,0.008016110446304082,0.9339339339339339,0.8958432116326853,0.9642800695432274,0.9854321346515883,0.9769620145281186,0.9922545832524177,0.5973012994953394,0.4429081125556363,0.7365272627941153
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed43,27,43,1,8,8,True,277,71,335,4,0.9638095238095239,170.3,0.8444764274837905,0.8976943640008911,0.8601948280983144,0.9320570654191729,0.8552694524149532,0.7977717081260619,0.9084995441828476,0.5291961458561938,0.4535573676110727,0.6043506718542415
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed43,27,43,1,8,8,True,450,114,119,7,0.9668759811616956,163.8,0.9914951562204031,0.9152063312605992,0.8606557377049181,0.9578858111927643,0.9221997864366693,0.8758000608882347,0.9604519643014027,0.5881860923348406,0.46253045978563206,0.7081473155360198
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed43,27,43,1,8,8,True,529,133,21,4,0.9652968036529679,161.4,0.004500009828027228,0.9705882352941176,0.8676470588235294,1.0,0.9932718185313342,0.973529411764706,1.0,0.8416254115301732,0.4609772228646444,1.0
