holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high,checkpoint
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed42,5,42,1,8,8,True,450,114,119,3,0.9368916797488226,162.9,0.9934128676220152,0.8569813453928774,0.7857546636517807,0.9166195590729224,0.8695322052210769,0.807616734032746,0.9231206821651036,0.5369606487166533,0.4018207987535327,0.6619806574248206,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed42,5,42,1,8,8,True,530,132,21,5,0.9377314814814816,164.6,0.0040081406383542,0.8676470588235294,0.6470588235294117,1.0,0.9664896954256816,0.9085726902854931,1.0,0.4950737714883372,-0.108465228909328,0.8677218312746247,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed43,5,43,1,8,8,True,380,95,208,3,0.8481581311769991,162.3,0.0005291787250725,0.9201833412359728,0.8745060850324008,0.9571676940097992,0.9817723998350802,0.9711253682606478,0.9903862804729716,0.5025804860053565,0.3994333313237306,0.5996913624799948,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed43,5,43,1,8,8,True,277,71,335,5,0.9009523809523808,169.1,0.9983465013667157,0.886518898047078,0.8470139971782876,0.9236290562114798,0.8342995436763676,0.771511569856307,0.8958424839413378,0.554601644474277,0.4748744088188877,0.6351059056124455,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed43,5,43,1,8,8,True,450,114,119,1,0.9434850863422292,158.7,0.5308341954126954,0.8810062182023742,0.8185415488976823,0.9335853589598644,0.8857302555568961,0.8295205770121751,0.9357080799815898,0.5320736555081663,0.4018207987535327,0.6518680143361056,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed43,5,43,1,8,8,True,529,133,21,3,0.941095890410959,160.5,0.0010426124021214,0.8676470588235294,0.6470588235294117,1.0,0.9664896954256816,0.9099287293588764,1.0,0.2557390794935059,-0.1980295085953348,0.6911764705882353,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed44,5,44,1,8,8,True,380,95,208,4,0.9182389937106918,164.8,0.9979567540752468,0.8920499446815235,0.829935198356251,0.9437332068911016,0.972190954358624,0.9541025118523824,0.9869131736060104,0.3827592367118774,0.2802602440696143,0.4767572473612834,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed44,5,44,1,8,8,True,277,71,335,5,0.9876190476190476,164.6,0.5810126583109742,0.8714078859434171,0.8302698262419246,0.9094267468627014,0.8067403192124585,0.742377259946682,0.871958230578497,0.4617767672927258,0.380881137550812,0.5380010287461584,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed44,5,44,1,8,8,True,450,114,119,5,0.9271585557299844,160.6,0.8974997241520305,0.8355002826455624,0.7608818541548898,0.8988128886376484,0.8595737962769212,0.7992111933754282,0.9134297326140884,0.597715977139835,0.487609855869012,0.7081473155360198,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores_seed44,5,44,1,8,8,True,530,132,21,2,0.9136574074074074,156.8,0.9853338527166198,0.8676470588235294,0.6176470588235294,1.0,0.9637736807901623,0.9006435937378048,1.0,0.6911764705882353,0.2557390794935059,1.0,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed42,9,42,1,8,8,True,380,95,208,4,0.9766397124887692,165.1,0.0750072056245017,0.9241346609767662,0.8817765133554608,0.9587482219061166,0.982972912488446,0.9732363605243576,0.990924616193817,0.5400949155234446,0.4340389868674366,0.6407050970897677,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed42,9,42,1,8,8,True,277,71,335,2,0.9866666666666666,164.5,0.9977454340317056,0.8753063042993985,0.8333885609267097,0.9133075295165962,0.8356075924325741,0.7803628544367429,0.887745461900937,0.6143345440100667,0.5313534100551391,0.6947088029207741,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
