holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,gatewave,residual,esmpri_gatewave_frozen_pllr-residual_seed42,27,42,1,8,8,True,380,95,208,4,0.9847259658580414,170.1,0.01963525722839404,0.9419946262051525,0.9076971708550655,0.96996996996997,0.9873317204627583,0.9796379932925489,0.993519266350821,0.5378749072616715,0.4787778043899826,0.6067266788712237
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,gatewave,residual,esmpri_gatewave_frozen_pllr-residual_seed42,27,42,1,8,8,True,277,71,335,1,1.0,165.9,0.4735100626945496,0.9159426746862701,0.8793708695329324,0.947576483255365,0.8845858459727646,0.8327068199468683,0.9312016993098516,0.5947472064406762,0.518057281437584,0.6662750146806125
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,gatewave,residual,esmpri_gatewave_frozen_pllr-residual_seed42,27,42,1,8,8,True,450,114,119,6,0.9789638932496075,169.2,0.0028083438699832183,0.9590163934426229,0.9202939513849633,0.9875635952515546,0.9631879914524765,0.9299929803552547,0.988539552580892,0.7222283714390504,0.616239619124457,0.8238647518192266
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,gatewave,residual,esmpri_gatewave_frozen_pllr-residual_seed42,27,42,1,8,8,True,530,132,21,5,0.9527777777777778,165.5,0.0022898299070075153,0.9852941176470589,0.9117647058823529,1.0,0.9967320261437909,0.9823529411764707,1.0,0.8416254115301732,0.4609772228646444,1.0
