holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed42,27,42,1,8,8,True,362,92,208,3,0.965166908563135,152.7,0.0045050818785334745,0.9459459459459459,0.9075391180654339,0.9755018176070808,0.9875387066379169,0.9777963626163387,0.9947463215669644,0.6429101297174892,0.509429939123212,0.7681797381308266
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed42,27,42,1,8,8,True,262,65,335,3,0.959954233409611,154.4,0.9974333098917054,0.9157199079230712,0.8801876809979952,0.9469453107596347,0.8769832036506099,0.8186075366064576,0.929820843355839,0.6965737963514281,0.6196515078412849,0.7698973538621048
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed42,27,42,1,8,8,True,435,108,119,2,0.9689570980118591,149.1,0.6349605949540319,0.9728660260033917,0.9451667608818543,0.9923685698134539,0.976125138264558,0.9532571126682161,0.9928922249251503,0.6486059321131852,0.5422457045959538,0.7435249522063752
