holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high,checkpoint
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed42,25,42,1,8,8,True,380,95,208,2,0.9748427672955975,165.0,0.9053774283349066,0.9355144618302513,0.892998261419314,0.9701280227596016,0.9847499410384982,0.9740974808694332,0.9933408960561118,0.40227619114528373,0.3529576810031545,0.4562994655387077,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed42,25,42,1,8,8,True,277,71,335,1,0.9961904761904762,163.7,0.4202040064930916,0.912898195589218,0.8770327467141903,0.9444577485705798,0.8674609239557726,0.8072473224351918,0.9234243035034899,0.5584711881433564,0.4871088629986452,0.6271966841276844,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed42,25,42,1,8,8,True,450,114,119,6,0.9783359497645212,165.1,0.024500689943796686,0.9584511023176936,0.9200113058224986,0.9864330130016958,0.9595460295785686,0.9211202031971966,0.987539677634864,0.7650568195559944,0.6585592574139502,0.8580249976263653,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed42,25,42,1,8,8,True,530,132,21,5,0.9550925925925926,161.4,0.0015001397135021152,0.9705882352941176,0.8676470588235294,1.0,0.9932718185313342,0.973529411764706,1.0,0.6688560540599386,0.0,1.0,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
