holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores,5,42,1,8,8,True,380,95,208,2,0.9663072776280323,164.2,0.9971475451029256,0.9148095463884937,0.8601232811759127,0.9590643274853802,0.978350006990437,0.9620959013348177,0.990838173867114,0.44244597168886174,0.3592348187655142,0.5223214819300795
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores,5,42,1,8,8,True,277,71,335,3,0.9761904761904762,166.0,0.9283370954860002,0.889934655082795,0.8496663139526249,0.9261166184005346,0.85926407931168,0.8067766986867684,0.9068083351488395,0.42397916056963414,0.3416142974173498,0.5004940983065688
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores,5,42,1,8,8,True,450,114,119,6,0.9384615384615385,162.3,0.9239961714722995,0.8063877897117016,0.7238552854720182,0.8767665347654042,0.8431563519917294,0.777919974899845,0.901232712010227,0.5942434064637425,0.46248906477578555,0.7158475921250086
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_gnomad_and_scores,5,42,1,8,8,True,530,132,21,5,0.9165509259259259,161.5,0.4664991835629739,0.9117647058823529,0.7352941176470589,1.0,0.9785481220351919,0.9355165595650026,1.0,0.4950737714883372,-0.10846522890932808,0.8677218312746247
