holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed44,27,44,1,8,8,True,380,95,208,3,0.926325247079964,162.0,0.9989595159778301,0.9238185553975027,0.873869922554133,0.9647581792318635,0.9810568352152075,0.967347213030051,0.9921029502209956,0.1599770467092388,0.12495854500390993,0.19466909979103925
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed44,27,44,1,8,8,True,277,71,335,5,0.9942857142857143,167.8,0.004501514643149505,0.9057325313729857,0.8698666184005346,0.9383135627830993,0.8689313923001953,0.8203583296800863,0.9148627156368041,0.4261394844018666,0.3556768534729039,0.49255393434615546
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed44,27,44,1,8,8,True,450,114,119,2,0.9350078492935635,161.4,0.9384748452521822,0.9836065573770492,0.9609949123798756,0.998304126625212,0.9856190724378716,0.967744905455093,0.9982560527889184,0.7024254034589267,0.6086819616248896,0.7997261879974122
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,esmpri_concat_frozen_pllr-residual_seed44,27,44,1,8,8,True,530,132,21,3,0.9592592592592593,158.1,0.09050302191622564,0.9264705882352942,0.7794117647058824,1.0,0.9840397923875434,0.9531883341571923,1.0,0.25573907949350594,-0.15737789507292674,0.6911764705882353
