cell,gene,n,n_pos,available,reason,threshold,roc_auc,pr_auc,brier,ece_uniform,ece_adaptive,mce,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,npv,f1_pathogenic,f1_macro,f1_weighted,mcc,tn,fp,fn,tp
esm_frozen_pllr-residual_seed42,MSH6,119,58,True,,0.5138895528300782,0.9013566986998304,0.9034540683718632,0.2132884526523924,0.2225875174536135,0.2028686153968067,0.88850373,0.773109243697479,0.7689372526851328,0.8974358974358975,0.603448275862069,0.603448275862069,0.9344262295081968,0.7125,0.7216494845360825,0.7650800614169774,0.766174949909773,0.5727730520379799,57.0,4.0,23.0,35.0
esm_frozen_pllr-residual_seed42,PMS2,21,17,False,minority_class<5,0.0722504845112562,,,,,,,,,,,,,,,,,,,,,
esm_full_pllr-residual_seed42,MLH1,208,171,True,,0.5243497134447097,0.8850956219377272,0.968515991917802,0.085666568648225,0.039845356201923,0.0588533808173077,0.43478563,0.8990384615384616,0.7691639007428481,0.912087912087912,0.9707602339181286,0.9707602339181286,0.5675675675675675,0.8076923076923077,0.9405099150141644,0.8035882908404155,0.8917974141061958,0.6224770704750312,21.0,16.0,5.0,166.0
esm_full_pllr-residual_seed42,MSH2,335,134,True,,0.3606843393146992,0.891215563971189,0.829446117744822,0.2913538357591032,0.3451829787164178,0.3451829787164179,0.7604297853846154,0.4985074626865671,0.5808457711442786,0.4433333333333333,0.9925373134328358,0.9925373134328358,0.1691542288557214,0.9714285714285714,0.6129032258064516,0.4505194095133953,0.418042646254784,0.2589661986891186,34.0,167.0,1.0,133.0
esm_full_pllr-residual_seed42,MSH6,119,58,True,,0.5382698560953141,0.9624081401921988,0.9647673038269232,0.1425264012919978,0.2423082926890756,0.2398198548739496,0.3772368330769231,0.8907563025210085,0.8896269078575467,0.9245283018867924,0.8448275862068966,0.8448275862068966,0.9344262295081968,0.8636363636363636,0.8828828828828829,0.8902603390792367,0.8904463253699011,0.7836965758638541,57.0,4.0,9.0,49.0
esm_full_pllr-residual_seed42,PMS2,21,17,False,minority_class<5,0.5108714292868972,,,,,,,,,,,,,,,,,,,,,
esm_last2_pllr-residual_seed42,MLH1,208,171,True,,0.5757088153767399,0.9094357515410147,0.9796499053078456,0.1585022597556656,0.1689345999951923,0.1731754682644231,0.6927979499999999,0.7884615384615384,0.8183973447131342,0.9635036496350364,0.7719298245614035,0.7719298245614035,0.8648648648648649,0.4507042253521127,0.8571428571428571,0.7248677248677249,0.8100834350834349,0.5135809333594427,32.0,5.0,39.0,132.0
esm_last2_pllr-residual_seed42,MSH2,335,134,True,,0.89789888641797,0.8877626791416054,0.8162913958630853,0.2636188741195521,0.2812848022746268,0.2812848022746268,0.7865295042307693,0.7791044776119403,0.7985074626865671,0.6666666666666666,0.8955223880597015,0.8955223880597015,0.7014925373134329,0.9096774193548388,0.7643312101910829,0.7782330208258785,0.7810133829528376,0.5865884600854131,141.0,60.0,14.0,120.0
esm_last2_pllr-residual_seed42,MSH6,119,58,True,,0.1780158342095092,0.9330130016958734,0.9322438138208242,0.1735149449024983,0.179918945512605,0.1742948288067227,0.70372616,0.8487394957983193,0.8465234595816846,0.9166666666666666,0.7586206896551724,0.7586206896551724,0.9344262295081968,0.8028169014084507,0.8301886792452831,0.8469125214408233,0.8473341309079377,0.7061415369762128,57.0,4.0,14.0,44.0
esm_last2_pllr-residual_seed42,PMS2,21,17,False,minority_class<5,0.6829772097319364,,,,,,,,,,,,,,,,,,,,,
