holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,False,esm+priors,concat,off,esmpri_concat_frozen_pllr-off_seed42,27,42,1,8,8,True,380,95,208,2,0.9797843665768194,155.7,0.09014153766474918,0.9535324798482693,0.9228702386597123,0.9778726094515569,0.9898556113925068,0.9829301063596385,0.9952842490099995,0.6662025072512756,0.5333874816255413,0.7886560969463954
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,False,esm+priors,concat,off,esmpri_concat_frozen_pllr-off_seed42,27,42,1,8,8,True,277,71,335,1,0.9961904761904763,158.6,0.6995135378325358,0.9125454815474865,0.8768452513551644,0.9433810425484519,0.8925439952571192,0.8523236574067355,0.9289444147502407,0.6831300510639732,0.6071076372970237,0.7563225565351132
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,False,esm+priors,concat,off,esmpri_concat_frozen_pllr-off_seed42,27,42,1,8,8,True,450,114,119,3,0.9660910518053375,156.4,0.9499838628742054,0.9402204635387224,0.8911814584511023,0.9785189372526851,0.9518551516316381,0.9151644323485372,0.9816408886251174,0.6619806574248206,0.5555701314096563,0.7574085499905228
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,False,esm+priors,concat,off,esmpri_concat_frozen_pllr-off_seed42,27,42,1,8,8,True,530,132,21,7,0.9587962962962963,159.9,0.47799991378431766,0.9558823529411764,0.8235294117647058,1.0,0.9895953479430989,0.9611283109735123,1.0,0.8416254115301732,0.4609772228646444,1.0
