arm,model,seed,min,max
A4,gbm,42,0.4639909267425537,0.7500527501106262
A4,gbm,43,0.5796273350715637,0.8695102334022522
A4,gbm,44,0.09753227233886719,0.8185536861419678
A4,mlp,42,0.3227683901786804,0.6406051516532898
A4,mlp,43,0.4506905674934387,0.6605740189552307
A4,mlp,44,0.33989354968070984,0.5688507556915283
A4,transformer,42,0.3242308497428894,0.8605335354804993
A4,transformer,43,0.2924794554710388,0.5085100531578064
A4,transformer,44,0.047738801687955856,0.6169983744621277
A5,aa_mlp,42,0.4455452859401703,0.5231351256370544
A5,aa_mlp,43,0.29250869154930115,0.5143417716026306
A5,aa_mlp,44,0.24900582432746887,0.40465208888053894
A5,bilstm,42,0.302135705947876,0.7218953371047974
A5,bilstm,43,0.31551021337509155,0.7175624370574951
A5,bilstm,44,0.17506518959999084,0.7875013947486877
A5,bilstm_attn,42,0.11342313140630722,0.8269098997116089
A5,bilstm_attn,43,0.23888343572616577,0.4612434506416321
A5,bilstm_attn,44,0.15497812628746033,0.4466433525085449
A5,cnn,42,0.019702976569533348,0.8657347559928894
A5,cnn,43,0.4733811318874359,0.8396911025047302
A5,cnn,44,0.005153637379407883,0.8280952572822571
A5,gbm,42,0.19428414106369019,0.6085692048072815
A5,gbm,43,0.513863205909729,0.9520111083984375
A5,gbm,44,0.6005401015281677,0.9019307494163513
A5,mlp,42,0.23448969423770905,0.6806513667106628
A5,mlp,43,0.48799610137939453,0.878491222858429
A5,mlp,44,0.14293141663074493,0.8284215331077576
A5,transformer,42,0.08256375044584274,0.9151835441589355
A5,transformer,43,0.13731925189495087,0.961391806602478
A5,transformer,44,0.35788390040397644,0.6618533134460449
B1,aa_mlp,42,0.4807746998251301,0.6349878079037377
B1,aa_mlp,43,0.7164166287433378,0.8403675208586298
B1,aa_mlp,44,0.21775413495570475,0.8538550788175803
B1,bilstm,42,0.5324002676980603,0.8894408982094019
B1,bilstm,43,0.6551685657519883,0.7968915544610667
B1,bilstm,44,0.5976914511501439,0.7715962031116225
B1,bilstm_attn,42,0.5693116252203039,0.7222970364844961
