arm,model,genes,n,auc_mean,auc_sd,mcc_mean,mcc_sd,pr_auc_mean,pr_auc_sd,brier_mean,brier_sd,ece_mean,ece_sd,auc_ci_low,auc_ci_high
B1,bilstm_attn,MLH1+MSH6,252,0.916895047299989,0.029593539923105032,0.4799649045046917,0.05532628942860533,0.9722419368338994,0.00858601196033937,0.20973551669280868,0.03826504668635354,0.29059215105637887,0.051571919475493715,0.8806592051866626,0.9477116707926484
B1,cnn,MLH1+MSH6,252,0.8931954570252442,0.004967686758312216,0.3686389315175644,0.021078674126912895,0.9644429747794457,0.0021128232199444665,0.18442387023634396,0.012854522772420498,0.24435059740638773,0.00798247789372606,0.8469434209196318,0.9340310500113803
B1,gbm,MLH1+MSH6,252,0.93949553077899,0.003209525134280021,0.4273149052702034,0.04978673534476851,0.9794112432001935,0.0009815728495188056,0.3596814248886458,0.003502834212562719,0.46081599304988297,0.0027909659556995445,0.9093075252161268,0.9653125800195164
B1,mlp,MLH1+MSH6,252,0.92280254634407,0.010204159990484163,0.28783611850388285,0.007381122774784538,0.9698079033484164,0.004946919855271424,0.22396498869303558,0.012760615090267635,0.3102070737972273,0.011237308619180595,0.882872679152807,0.9579005897079493
B1,transformer,MLH1+MSH6,252,0.8969263406463132,0.012637486942466872,0.4433908724503408,0.09633415385352424,0.9644601666937419,0.0038816139103168197,0.23903812450520898,0.016100329031881116,0.31749727877443873,0.015977018166197655,0.8537668429229847,0.9342715971585461
B2,aa_mlp,MLH1+MSH2+MSH6,428,0.9190242427759586,0.005179055865404701,0.4386701502643808,0.03381740629834646,0.9672668789901433,0.001470804792415481,0.19917819978339682,0.018303968478830607,0.24406687228782478,0.02389600188661996,0.8933881004939237,0.942508398987852
B2,bilstm,MLH1+MSH2+MSH6,428,0.9441824456301978,0.006351746879960523,0.46490849751266206,0.03249963554630384,0.9751151434188401,0.0006253651841943305,0.15180011470115023,0.004001144547236467,0.20369948050469686,0.003619669272097205,0.9224504935314595,0.9634233234536581
B2,bilstm_attn,MLH1+MSH2+MSH6,428,0.9472763678687666,0.0062025593798157525,0.4631236753291041,0.08110933623972356,0.9760800557915869,0.004537772835936912,0.16986376139208095,0.022292882602953958,0.2346945183898973,0.02784407836854565,0.9257796190296218,0.9661508791468265
B2,cnn,MLH1+MSH2+MSH6,428,0.9163606168260424,0.01377087201293289,0.4099306712589856,0.029085947187963677,0.9574638097187925,0.006981426413456838,0.17505200834257595,0.0189548835928905,0.2085735647649197,0.02585659311260359,0.8888776144589365,0.9408184646732709
B2,gbm,MLH1+MSH2+MSH6,428,0.9251863081693212,0.006393346692749572,0.5070358365599806,0.04778135049187133,0.9602383683620211,0.008425611630903121,0.25494026372124373,0.003563691549757343,0.3279972815864569,0.007315915651853514,0.89735629858875,0.9501555917275286
B2,mlp,MLH1+MSH2+MSH6,428,0.9403175079800853,0.014055726232181254,0.43741465690572573,0.03561933947976236,0.9711309354097718,0.010039295690366958,0.1544798346144324,0.01439027663636655,0.21631242218577387,0.02808242624087648,0.9138389113763967,0.963343210488831
B2,transformer,MLH1+MSH2+MSH6,428,0.9238335598665043,0.0062665689522048325,0.4275712749915017,0.057545525551659954,0.9648637454461894,0.005223532607024952,0.19877744781921167,0.0024920528079152306,0.2518870409119111,0.003002054575874934,0.8987970922844916,0.9461206982754419
B3,aa_mlp,MLH1+MSH2+MSH6,428,0.9040051340947874,0.01310149589108383,0.5434784496405128,0.07609925095879508,0.9526111901070274,0.009719422585523961,0.16473312486048491,0.022644765141181616,0.21878237071835085,0.024691334908084523,0.8757787309811568,0.9302367927568872
B3,bilstm,MLH1+MSH2+MSH6,428,0.9406869437947852,0.006516324183279652,0.6142088640725586,0.02508183373435964,0.9641698993885659,0.009930318815142492,0.13114369755267474,0.005081305047990862,0.19357364291078918,0.02806402425251138,0.9140345478647149,0.9647890020503473
B3,bilstm_attn,MLH1+MSH2+MSH6,428,0.9336385289606807,0.024269947729351298,0.656113384567907,0.0918733015895932,0.9682809773438626,0.006070091684374228,0.1555262277488004,0.015031679379037396,0.23572689984008968,0.013759797063142001,0.9092291245074008,0.9559359898145924
B3,cnn,MLH1+MSH2+MSH6,428,0.888659995600627,0.025751675565591433,0.4923105235036424,0.033671928889825044,0.9406506629363478,0.02099251009550032,0.20916263863560017,0.024253616786608524,0.2631502608138255,0.04152805325526382,0.8579079057520855,0.9167141730678615
B3,gbm,MLH1+MSH2+MSH6,428,0.943568805365305,0.00392073657503137,0.7859373271517388,0.016670696873805412,0.9554274116377061,0.005909109042367299,0.06360991111928223,0.0017623641331884657,0.06428718417603076,0.0100667019049473,0.914786748888036,0.9690947780835477
B3,mlp,MLH1+MSH2+MSH6,428,0.9492604869170586,0.004787885618161601,0.6795813256287273,0.048418565191896655,0.9735237928877236,0.0034998953675237075,0.11046548216038765,0.017009509247084723,0.17813076826453433,0.04737804307009682,0.9235286567973211,0.9725640473445617
B3,transformer,MLH1+MSH2+MSH6,428,0.8275753385160559,0.024932675757470185,0.441823172761739,0.06140962932374732,0.9198630261187031,0.007681684219967674,0.18790737679083522,0.007345780131088011,0.19774503928284806,0.010561738477607439,0.7907038814995936,0.8608817150420199
M,aa_mlp,MLH1+MSH2+MSH6,428,0.9136185250697091,0.027417321934315526,0.6020966510596696,0.0741228660887497,0.9554488776447925,0.011401527436939712,0.16554164727823864,0.009270786057464333,0.23833186381317883,0.015965562375693812,0.8863355319028994,0.9381670343806862
M,bilstm,MLH1+MSH2+MSH6,428,0.9628826759617768,0.0011295967735295977,0.772792293344671,0.04224408238048749,0.977716696720912,0.002874709973434303,0.09312871188482867,0.009355295972623634,0.13411548686885708,0.016806278376941302,0.9380444363760496,0.9821124874004036
M,bilstm_attn,MLH1+MSH2+MSH6,428,0.9648108735617315,0.0041502709107104985,0.7703842920829992,0.027556101741903205,0.9775855627208339,0.0023480437455865575,0.08882703161767769,0.003593615800523169,0.12153210366159801,0.014734580757290974,0.9396965411123599,0.9840327085052235
M,cnn,MLH1+MSH2+MSH6,428,0.9115535979533061,0.00621339176795271,0.645777929858331,0.06705976803116426,0.9458218077701844,0.010059705098142243,0.2166088213635523,0.026857417825534035,0.28338624990306477,0.059687280319311246,0.8810122501511145,0.939048571688015
M,gbm,MLH1+MSH2+MSH6,428,0.9480205925759718,0.01005579015955665,0.7756373856991652,0.05052078326264633,0.9623971892313662,0.010749379243770937,0.07366101235773592,0.0036568166780452174,0.0801882950658803,0.004806388270125443,0.9176717629419301,0.9720411274056819
M,mlp,MLH1+MSH2+MSH6,428,0.962326043164238,0.0036080196480229206,0.7991267657874497,0.0055372694593809856,0.9778658530774563,0.007290898685663679,0.0762819998291651,0.014445803300593398,0.10748249768416608,0.03615702757313032,0.9382889416417549,0.9823681334297026
M,transformer,MLH1+MSH2+MSH6,428,0.9100517288038735,0.008429055618821638,0.6451379550702269,0.04324433541534757,0.9477844904378676,0.005982947377051482,0.13169677718603556,0.004490262964978038,0.1405320768130267,0.006650467727590518,0.8758919799472181,0.9380293616978592
